job_id,skill_id
1,1
1,2
1,3
1,4
1,5
1,6
1,42
1,107
1,108
1,109
1,110
1,111
2,7
2,8
2,9
2,10
2,112
2,113
2,114
2,115
2,116
3,11
3,12
3,13
3,14
3,15
3,108
3,112
3,113
3,117
4,16
4,17
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,118
5,15
5,30
5,31
5,32
5,33
5,34
5,35
5,102
5,108
5,112
5,119
5,120
5,121
6,2
6,36
6,42
6,112
6,113
6,116
6,122
6,123
7,15
7,37
7,38
7,39
7,40
7,112
7,113
7,119
7,124
8,41
8,112
8,113
8,119
8,125
8,126
9,2
9,3
9,42
9,43
9,44
9,45
9,46
9,102
9,108
9,110
9,112
9,127
9,128
9,148
10,2
10,15
10,31
10,37
10,38
10,40
10,42
10,47
10,48
10,49
10,102
10,112
10,116
10,129
10,130
11,2
11,15
11,31
11,42
11,50
11,51
11,52
11,102
11,112
11,113
11,116
11,119
12,25
12,26
12,27
12,53
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,112
12,113
12,116
12,131
13,2
13,15
13,31
13,42
13,61
13,62
13,63
13,102
13,112
13,113
13,116
13,132
13,133
13,149
14,64
14,65
14,66
14,67
14,68
14,112
14,113
14,119
14,134
15,69
15,70
15,71
15,112
15,113
15,116
15,120
16,15
16,31
16,72
16,73
16,74
16,75
16,76
16,102
16,108
16,113
16,119
16,120
16,135
17,2
17,15
17,31
17,42
17,77
17,78
17,102
17,112
17,116
17,132
17,136
18,2
18,30
18,31
18,42
18,79
18,80
18,81
18,82
18,102
18,112
18,114
18,129
18,132
18,137
19,15
19,31
19,83
19,84
19,85
19,86
19,102
19,112
19,113
19,138
19,139
19,140
20,15
20,31
20,76
20,87
20,88
20,89
20,102
20,112
20,113
20,116
20,136
21,2
21,42
21,70
21,90
21,91
21,92
21,93
21,112
21,119
21,120
21,141
21,149
22,2
22,19
22,42
22,44
22,51
22,52
22,94
22,95
22,102
22,108
22,112
22,119
22,132
22,136
22,148
23,2
23,31
23,38
23,42
23,96
23,97
23,102
23,112
23,116
23,129
23,132
23,142
24,15
24,31
24,39
24,76
24,96
24,98
24,102
24,108
24,112
24,113
24,119
24,129
25,15
25,39
25,76
25,87
25,99
25,108
25,112
25,113
25,116
25,143
26,1
26,2
26,3
26,15
26,31
26,36
26,42
26,102
26,112
26,113
26,116
26,129
26,144
27,15
27,30
27,31
27,40
27,100
27,101
27,102
27,108
27,112
27,121
27,145
27,146
28,2
28,15
28,42
28,76
28,80
28,102
28,103
28,112
28,113
28,119
28,135
28,136
29,2
29,15
29,30
29,31
29,42
29,76
29,77
29,102
29,104
29,105
29,108
29,112
29,113
29,116
29,132
30,1
30,15
30,31
30,72
30,102
30,106
30,108
30,112
30,119
30,136
30,147
